@RELATION air_quality

@ATTRIBUTE pm25 REAL
@ATTRIBUTE pm10 REAL
@ATTRIBUTE o3 REAL
@ATTRIBUTE no2 REAL
@ATTRIBUTE so2 REAL
@ATTRIBUTE quality {good,hazardous,moderate,unhealthy,unhealthy_for_sensitive_groups,very_unhealthy}

@DATA
205, 139, 19, 35, 6, very_unhealthy
229, 144, 12, 28, 4, very_unhealthy
236, 135, 10, 30, 5, very_unhealthy
217, 67, 22, 7, 3, very_unhealthy
59, 50, 19, 11, 5, moderate
67, 90, 15, 26, 6, moderate
151, 102, 17, 26, 6, unhealthy
165, 120, 8, 27, 5, unhealthy
194, 29, 23, 7, 3, unhealthy
41, 68, 18, 17, 6, moderate
107, 95, 19, 26, 11, unhealthy_for_sensitive_groups
151, 75, 16, 22, 7, unhealthy
121, 61, 21, 18, 3, unhealthy_for_sensitive_groups
115, 42, 24, 4, 3, unhealthy_for_sensitive_groups
47, 33, 24, 7, 2, good
45, 66, 21, 17, 5, moderate
114, 66, 25, 11, 3, unhealthy_for_sensitive_groups
70, 57, 24, 12, 1, moderate
96, 86, 24, 16, 4, moderate
132, 44, 23, 3, 2, unhealthy_for_sensitive_groups
31, 82, 28, 8, 4, moderate
138, 78, 27, 8, 2, unhealthy_for_sensitive_groups
162, 84, 23, 8, 2, unhealthy
131, 83, 26, 5, 3, unhealthy_for_sensitive_groups
84, 98, 33, 5, 2, moderate
140, 100, 25, 9, 3, unhealthy_for_sensitive_groups
151, 41, 27, 2, 3, unhealthy
46, 29, 24, 1, 2, good
28, 30, 23, 3, 3, good
51, 21, 23, 2, 2, moderate
37, 65, 26, 8, 4, moderate
137, 84, 25, 12, 3, unhealthy_for_sensitive_groups
148, 36, 26, 4, 2, unhealthy_for_sensitive_groups
60, 39, 26, 5, 3, moderate
74, 51, 25, 7, 2, moderate
101, 32, 25, 5, 3, unhealthy_for_sensitive_groups
37, 45, 20, 12, 4, good
89, 54, 18, 17, 4, moderate
104, 56, 27, 11, 3, unhealthy_for_sensitive_groups
132, 106, 24, 11, 3, unhealthy_for_sensitive_groups
201, 133, 21, 21, 3, very_unhealthy
228, 94, 45, 23, 7, very_unhealthy
172, 87, 27, 22, 5, unhealthy
169, 95, 30, 27, 7, unhealthy
166, 75, 20, 26, 7, unhealthy
120, 59, 19, 24, 5, unhealthy_for_sensitive_groups
98, 116, 35, 25, 7, unhealthy_for_sensitive_groups
202, 178, 33, 35, 7, very_unhealthy
264, 141, 41, 30, 9, very_unhealthy
216, 141, 36, 32, 5, very_unhealthy
215, 128, 34, 31, 6, very_unhealthy
196, 137, 37, 27, 6, unhealthy
202, 120, 37, 16, 6, very_unhealthy
189, 94, 30, 15, 2, unhealthy
151, 47, 26, 10, 3, unhealthy
60, 69, 35, 17, 4, moderate
129, 48, 31, 8, 3, unhealthy_for_sensitive_groups
98, 39, 23, 12, 2, moderate
95, 58, 32, 15, 3, moderate
121, 64, 25, 7, 3, unhealthy_for_sensitive_groups
41, 59, 20, 15, 4, moderate
77, 69, 26, 16, 5, moderate
123, 55, 23, 9, 3, unhealthy_for_sensitive_groups
62, 63, 24, 12, 3, moderate
77, 72, 26, 18, 3, moderate
104, 53, 30, 7, 2, unhealthy_for_sensitive_groups
75, 69, 41, 9, 3, moderate
127, 39, 36, 8, 2, unhealthy_for_sensitive_groups
76, 37, 38, 3, 2, moderate
66, 37, 25, 9, 3, moderate
58, 34, 25, 9, 2, moderate
59, 49, 33, 8, 2, moderate
86, 85, 38, 14, 4, moderate
165, 104, 43, 20, 4, unhealthy
170, 94, 32, 14, 4, unhealthy
32, 31, 28, 8, 1, good
74, 42, 25, 6, 1, moderate
40, 39, 24, 12, 1, good
47, 42, 24, 11, 2, good
45, 37, 46, 11, 1, good
68, 56, 89, 14, 2, moderate
97, 54, 60, 16, 1, moderate
82, 41, 55, 9, 1, moderate
65, 45, 48, 4, 1, moderate
49, 42, 25, 12, 1, good
49, 56, 43, 12, 4, moderate
24, 26, 28, 10, 1, good
42, 40, 31, 12, 1, good
64, 46, 45, 11, 1, moderate
71, 62, 66, 13, 1, moderate
97, 69, 56, 18, 1, moderate
106, 68, 37, 21, 1, unhealthy_for_sensitive_groups
93, 28, 30, 5, 1, moderate
19, 34, 31, 6, 1, good
37, 44, 31, 17, 2, good
65, 65, 42, 22, 2, moderate
104, 62, 44, 17, 1, unhealthy_for_sensitive_groups
84, 44, 42, 10, 7, moderate
318, 56, 28, 12, 1, hazardous
105, 63, 41, 13, 2, unhealthy_for_sensitive_groups
100, 62, 49, 9, 1, moderate
103, 52, 29, 7, 1, unhealthy_for_sensitive_groups
67, 34, 20, 5, 1, moderate
24, 54, 25, 12, 2, moderate
54, 20, 23, 5, 3, moderate
24, 29, 23, 7, 1, good
41, 22, 23, 7, 1, good
49, 57, 32, 16, 2, moderate
107, 73, 44, 20, 2, unhealthy_for_sensitive_groups
143, 50, 34, 13, 1, unhealthy_for_sensitive_groups
82, 36, 35, 11, 1, moderate
61, 51, 23, 10, 7, moderate
87, 22, 24, 4, 1, moderate
23, 17, 22, 5, 1, good
26, 35, 15, 17, 1, good
74, 66, 26, 16, 2, moderate
149, 82, 30, 20, 1, unhealthy_for_sensitive_groups
146, 60, 28, 21, 1, unhealthy_for_sensitive_groups
108, 68, 32, 21, 3, unhealthy_for_sensitive_groups
132, 76, 38, 22, 1, unhealthy_for_sensitive_groups
149, 78, 36, 22, 1, unhealthy_for_sensitive_groups
147, 76, 40, 20, 1, unhealthy_for_sensitive_groups
145, 28, 25, 4, 1, unhealthy_for_sensitive_groups
29, 46, 15, 17, 1, good
82, 77, 18, 22, 2, moderate
151, 79, 21, 19, 2, unhealthy
114, 72, 32, 14, 2, unhealthy_for_sensitive_groups
129, 47, 24, 12, 2, unhealthy_for_sensitive_groups
71, 48, 18, 16, 1, moderate
88, 63, 29, 16, 2, moderate
117, 67, 35, 19, 2, unhealthy_for_sensitive_groups
141, 102, 35, 23, 3, unhealthy_for_sensitive_groups
